,installation_id,capacity,capacity_rounded,cluster
195,installation1730,4.639,5.0,0
197,installation1733,3.060239999999998,3.0,2
198,installation1734,5.746,6.0,0
200,installation1740,3.5760200000000006,4.0,2
201,installation1741,3.89,4.0,2
202,installation1742,3.595,4.0,2
203,installation1743,1.421,1.0,2
204,installation1744,3.108,3.0,2
205,installation1745,3.846,4.0,2
206,installation1748,3.969,4.0,2
207,installation1750,3.163,3.0,2
209,installation1753,5.818,6.0,0
210,installation1754,6.132,6.0,0
211,installation1755,5.156,5.0,0
212,installation1756,3.999,4.0,2
213,installation1757,5.417540000000001,5.0,0
214,installation1759,5.15,5.0,0
215,installation1760,7.468,7.0,0
216,installation1762,2.219,2.0,2
217,installation1764,7.003,7.0,0
218,installation1766,3.555,4.0,2
219,installation1767,2.955,3.0,2
220,installation1770,3.196,3.0,2
221,installation1771,3.005,3.0,2
222,installation1772,12.141,12.0,1
223,installation1774,4.999080000000002,5.0,0
224,installation1775,5.333,5.0,0
225,installation1777,4.495,4.0,0
226,installation1778,4.059,4.0,2
227,installation1779,4.284099999999999,4.0,2
228,installation1780,4.137720000000001,4.0,2
229,installation1781,4.637,5.0,0
230,installation1782,5.872,6.0,0
231,installation1784,3.995,4.0,2
233,installation1790,4.269779999999998,4.0,2
234,installation1791,3.26174,3.0,2
235,installation1792,4.2647,4.0,2
236,installation1794,3.907,4.0,2
237,installation1800,2.035,2.0,2
238,installation1805,4.938,5.0,0
239,installation1807,4.223,4.0,2
240,installation1809,5.859,6.0,0
241,installation1810,6.949,7.0,0
242,installation1813,3.4081399999999995,3.0,2
243,installation1814,4.647,5.0,0
244,installation1818,4.915,5.0,0
245,installation1822,3.3020199999999966,3.0,2
246,installation1823,5.213779999999999,5.0,0
247,installation1824,5.318,5.0,0
248,installation1825,4.587440000000003,5.0,0
249,installation1831,5.250680000000001,5.0,0
250,installation1842,3.673,4.0,2
251,installation1852,3.947,4.0,2
252,installation1854,2.505639999999999,3.0,2
253,installation1862,4.373,4.0,2
254,installation1867,4.073799999999999,4.0,2
255,installation1880,1.323,1.0,2
256,installation1890,3.217,3.0,2
257,installation1905,5.395,5.0,0
